/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset computers train_idx: 2007, val_idx: 669, test_idx: 10705
Debug: Dataset computers train_idx: 10, val_idx: 10, test_idx: 10
Dataset: computers | #Nodes: 13381 | #Edges: 491556 | #Classes: 10 |#Features: 767
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00003 | Loss(train) 2.1054 | Acc(train) 0.3244 | Acc(val) 0.3558 |
Epoch 00004 | Loss(train) 2.0758 | Acc(train) 0.3393 | Acc(val) 0.3558 |
Epoch 00005 | Loss(train) 2.0840 | Acc(train) 0.3602 | Acc(val) 0.3558 |
Epoch 00006 | Loss(train) 2.0427 | Acc(train) 0.3687 | Acc(val) 0.3558 |
Epoch 00007 | Loss(train) 1.9962 | Acc(train) 0.3941 | Acc(val) 0.3558 |
Epoch 00008 | Loss(train) 1.9825 | Acc(train) 0.3971 | Acc(val) 0.3558 |
Epoch 00009 | Loss(train) 1.9620 | Acc(train) 0.3916 | Acc(val) 0.3587 |*
Epoch 00010 | Loss(train) 1.9287 | Acc(train) 0.3911 | Acc(val) 0.3572 |
Epoch 00011 | Loss(train) 1.9063 | Acc(train) 0.4081 | Acc(val) 0.3558 |
Epoch 00012 | Loss(train) 1.8836 | Acc(train) 0.4091 | Acc(val) 0.3558 |
Epoch 00013 | Loss(train) 1.8524 | Acc(train) 0.4210 | Acc(val) 0.3602 |*
Epoch 00014 | Loss(train) 1.8384 | Acc(train) 0.4121 | Acc(val) 0.3722 |*
Epoch 00015 | Loss(train) 1.8154 | Acc(train) 0.4325 | Acc(val) 0.3587 |
Epoch 00016 | Loss(train) 1.7753 | Acc(train) 0.4155 | Acc(val) 0.3602 |
Epoch 00017 | Loss(train) 1.7698 | Acc(train) 0.4275 | Acc(val) 0.3961 |*
Epoch 00018 | Loss(train) 1.7392 | Acc(train) 0.4340 | Acc(val) 0.4410 |*
Epoch 00019 | Loss(train) 1.7157 | Acc(train) 0.4350 | Acc(val) 0.4290 |
Epoch 00020 | Loss(train) 1.7072 | Acc(train) 0.4300 | Acc(val) 0.4081 |
Epoch 00021 | Loss(train) 1.6886 | Acc(train) 0.4360 | Acc(val) 0.4111 |
Epoch 00022 | Loss(train) 1.6413 | Acc(train) 0.4385 | Acc(val) 0.4499 |*
Epoch 00023 | Loss(train) 1.6349 | Acc(train) 0.4345 | Acc(val) 0.4948 |*
Epoch 00024 | Loss(train) 1.6119 | Acc(train) 0.4519 | Acc(val) 0.5277 |*
Epoch 00025 | Loss(train) 1.5894 | Acc(train) 0.4509 | Acc(val) 0.5650 |*
Epoch 00026 | Loss(train) 1.6121 | Acc(train) 0.4365 | Acc(val) 0.5456 |
Epoch 00027 | Loss(train) 1.5969 | Acc(train) 0.4449 | Acc(val) 0.5336 |
Epoch 00028 | Loss(train) 1.5822 | Acc(train) 0.4484 | Acc(val) 0.5232 |
Epoch 00029 | Loss(train) 1.5561 | Acc(train) 0.4429 | Acc(val) 0.5321 |
Epoch 00030 | Loss(train) 1.5688 | Acc(train) 0.4454 | Acc(val) 0.5650 |
Epoch 00031 | Loss(train) 1.5160 | Acc(train) 0.4489 | Acc(val) 0.5919 |*
Epoch 00032 | Loss(train) 1.5207 | Acc(train) 0.4594 | Acc(val) 0.6263 |*
Epoch 00033 | Loss(train) 1.5209 | Acc(train) 0.4544 | Acc(val) 0.6114 |
Epoch 00034 | Loss(train) 1.4963 | Acc(train) 0.4499 | Acc(val) 0.5904 |
Epoch 00035 | Loss(train) 1.5044 | Acc(train) 0.4669 | Acc(val) 0.6114 |
Epoch 00036 | Loss(train) 1.4596 | Acc(train) 0.4664 | Acc(val) 0.6263 |
Epoch 00037 | Loss(train) 1.4528 | Acc(train) 0.4918 | Acc(val) 0.6263 |
Epoch 00038 | Loss(train) 1.4466 | Acc(train) 0.4838 | Acc(val) 0.6338 |*
Epoch 00039 | Loss(train) 1.4543 | Acc(train) 0.4913 | Acc(val) 0.6323 |
Epoch 00040 | Loss(train) 1.4075 | Acc(train) 0.5082 | Acc(val) 0.6323 |
Epoch 00041 | Loss(train) 1.4285 | Acc(train) 0.4918 | Acc(val) 0.6428 |*
Epoch 00042 | Loss(train) 1.3756 | Acc(train) 0.5247 | Acc(val) 0.6428 |
Epoch 00043 | Loss(train) 1.3780 | Acc(train) 0.5257 | Acc(val) 0.6323 |
Epoch 00044 | Loss(train) 1.3579 | Acc(train) 0.5306 | Acc(val) 0.6442 |*
Epoch 00045 | Loss(train) 1.3481 | Acc(train) 0.5227 | Acc(val) 0.6487 |*
Epoch 00046 | Loss(train) 1.3590 | Acc(train) 0.5376 | Acc(val) 0.6472 |
Epoch 00047 | Loss(train) 1.3350 | Acc(train) 0.5476 | Acc(val) 0.6383 |
Epoch 00048 | Loss(train) 1.3311 | Acc(train) 0.5301 | Acc(val) 0.6472 |
Epoch 00049 | Loss(train) 1.3016 | Acc(train) 0.5551 | Acc(val) 0.6442 |
Epoch 00050 | Loss(train) 1.3310 | Acc(train) 0.5536 | Acc(val) 0.6368 |
Epoch 00051 | Loss(train) 1.2849 | Acc(train) 0.5695 | Acc(val) 0.6472 |
Epoch 00052 | Loss(train) 1.2808 | Acc(train) 0.5720 | Acc(val) 0.6472 |
Epoch 00053 | Loss(train) 1.2739 | Acc(train) 0.5745 | Acc(val) 0.6472 |
Epoch 00054 | Loss(train) 1.2830 | Acc(train) 0.5610 | Acc(val) 0.6502 |*
Epoch 00055 | Loss(train) 1.2383 | Acc(train) 0.5785 | Acc(val) 0.6532 |*
Epoch 00056 | Loss(train) 1.2537 | Acc(train) 0.5730 | Acc(val) 0.6487 |
Epoch 00057 | Loss(train) 1.2395 | Acc(train) 0.5650 | Acc(val) 0.6487 |
Epoch 00058 | Loss(train) 1.2155 | Acc(train) 0.5864 | Acc(val) 0.6472 |
