/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00154 | Loss(train) 0.6542 | Acc(train) 0.7783 | Acc(val) 0.8904 |*
Epoch 00155 | Loss(train) 0.6915 | Acc(train) 0.7498 | Acc(val) 0.8877 |
Epoch 00156 | Loss(train) 0.7344 | Acc(train) 0.7293 | Acc(val) 0.8824 |
Epoch 00157 | Loss(train) 0.6922 | Acc(train) 0.7649 | Acc(val) 0.8824 |
Epoch 00158 | Loss(train) 0.6830 | Acc(train) 0.7551 | Acc(val) 0.8770 |
Epoch 00159 | Loss(train) 0.6990 | Acc(train) 0.7649 | Acc(val) 0.8797 |
Epoch 00160 | Loss(train) 0.7004 | Acc(train) 0.7578 | Acc(val) 0.8797 |
Epoch 00161 | Loss(train) 0.7082 | Acc(train) 0.7703 | Acc(val) 0.8850 |
Epoch 00162 | Loss(train) 0.6744 | Acc(train) 0.7711 | Acc(val) 0.8877 |
Epoch 00163 | Loss(train) 0.6746 | Acc(train) 0.7729 | Acc(val) 0.8797 |
Epoch 00164 | Loss(train) 0.7001 | Acc(train) 0.7685 | Acc(val) 0.8850 |
Epoch 00165 | Loss(train) 0.7039 | Acc(train) 0.7605 | Acc(val) 0.8824 |
Epoch 00166 | Loss(train) 0.6666 | Acc(train) 0.7711 | Acc(val) 0.8877 |
Epoch 00167 | Loss(train) 0.6587 | Acc(train) 0.7845 | Acc(val) 0.8797 |
Epoch 00168 | Loss(train) 0.7711 | Acc(train) 0.7409 | Acc(val) 0.8797 |
Epoch 00169 | Loss(train) 0.7275 | Acc(train) 0.7453 | Acc(val) 0.8770 |
Epoch 00170 | Loss(train) 0.6644 | Acc(train) 0.7685 | Acc(val) 0.8824 |
Epoch 00171 | Loss(train) 0.7040 | Acc(train) 0.7614 | Acc(val) 0.8743 |
Epoch 00172 | Loss(train) 0.6803 | Acc(train) 0.7774 | Acc(val) 0.8743 |
Epoch 00173 | Loss(train) 0.6911 | Acc(train) 0.7720 | Acc(val) 0.8770 |
Epoch 00174 | Loss(train) 0.7012 | Acc(train) 0.7649 | Acc(val) 0.8824 |
Epoch 00175 | Loss(train) 0.6716 | Acc(train) 0.7720 | Acc(val) 0.8797 |
Epoch 00176 | Loss(train) 0.6915 | Acc(train) 0.7524 | Acc(val) 0.8797 |
Epoch 00177 | Loss(train) 0.6680 | Acc(train) 0.7676 | Acc(val) 0.8770 |
Epoch 00178 | Loss(train) 0.6743 | Acc(train) 0.7614 | Acc(val) 0.8877 |
Epoch 00179 | Loss(train) 0.6795 | Acc(train) 0.7596 | Acc(val) 0.8877 |
Epoch 00180 | Loss(train) 0.6878 | Acc(train) 0.7596 | Acc(val) 0.8904 |
Epoch 00181 | Loss(train) 0.7007 | Acc(train) 0.7614 | Acc(val) 0.8850 |
Epoch 00182 | Loss(train) 0.6476 | Acc(train) 0.7747 | Acc(val) 0.8797 |
Epoch 00183 | Loss(train) 0.7202 | Acc(train) 0.7711 | Acc(val) 0.8824 |
Epoch 00184 | Loss(train) 0.6837 | Acc(train) 0.7605 | Acc(val) 0.8904 |
Epoch 00185 | Loss(train) 0.6781 | Acc(train) 0.7560 | Acc(val) 0.8824 |
Epoch 00186 | Loss(train) 0.6857 | Acc(train) 0.7747 | Acc(val) 0.8797 |
Epoch 00187 | Loss(train) 0.6709 | Acc(train) 0.7587 | Acc(val) 0.8743 |
Epoch 00188 | Loss(train) 0.6969 | Acc(train) 0.7631 | Acc(val) 0.8877 |
Epoch 00189 | Loss(train) 0.6564 | Acc(train) 0.7845 | Acc(val) 0.8930 |*
Epoch 00190 | Loss(train) 0.7220 | Acc(train) 0.7703 | Acc(val) 0.8904 |
Epoch 00191 | Loss(train) 0.6993 | Acc(train) 0.7667 | Acc(val) 0.8797 |
Epoch 00192 | Loss(train) 0.6754 | Acc(train) 0.7792 | Acc(val) 0.8797 |
Epoch 00193 | Loss(train) 0.6751 | Acc(train) 0.7658 | Acc(val) 0.8904 |
Epoch 00194 | Loss(train) 0.7296 | Acc(train) 0.7427 | Acc(val) 0.8904 |
Epoch 00195 | Loss(train) 0.6510 | Acc(train) 0.7738 | Acc(val) 0.8877 |
Epoch 00196 | Loss(train) 0.6588 | Acc(train) 0.7729 | Acc(val) 0.8850 |
Epoch 00197 | Loss(train) 0.6838 | Acc(train) 0.7649 | Acc(val) 0.8904 |
Epoch 00198 | Loss(train) 0.6790 | Acc(train) 0.7622 | Acc(val) 0.8904 |
Epoch 00199 | Loss(train) 0.6610 | Acc(train) 0.7881 | Acc(val) 0.8877 |
Epoch 00200 | Loss(train) 0.6845 | Acc(train) 0.7711 | Acc(val) 0.9037 |*
************************************
Start fitting calibration
************************************
Calibration model configuration
