  NumNodes: 19717
  NumEdges: 88651
  NumFeats: 500
  NumClasses: 3
  NumTrainingSamples: 60
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: pubmed | #Nodes: 19717 | #Edges: 108365 | #Classes: 3 |#Features: 500
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00013 | Loss(train) 1.0535 | Acc(train) 0.4139 | Acc(val) 0.3945 |
Epoch 00014 | Loss(train) 1.0506 | Acc(train) 0.4187 | Acc(val) 0.3955 |*
Epoch 00015 | Loss(train) 1.0462 | Acc(train) 0.4346 | Acc(val) 0.3976 |*
Epoch 00016 | Loss(train) 1.0423 | Acc(train) 0.4342 | Acc(val) 0.4097 |*
Epoch 00017 | Loss(train) 1.0408 | Acc(train) 0.4376 | Acc(val) 0.4199 |*
Epoch 00018 | Loss(train) 1.0389 | Acc(train) 0.4640 | Acc(val) 0.4300 |*
Epoch 00019 | Loss(train) 1.0376 | Acc(train) 0.4643 | Acc(val) 0.4442 |*
Epoch 00020 | Loss(train) 1.0348 | Acc(train) 0.4728 | Acc(val) 0.4675 |*
Epoch 00021 | Loss(train) 1.0318 | Acc(train) 0.4775 | Acc(val) 0.4858 |*
Epoch 00022 | Loss(train) 1.0315 | Acc(train) 0.4806 | Acc(val) 0.5091 |*
Epoch 00023 | Loss(train) 1.0231 | Acc(train) 0.5069 | Acc(val) 0.5294 |*
Epoch 00024 | Loss(train) 1.0230 | Acc(train) 0.5056 | Acc(val) 0.5467 |*
Epoch 00025 | Loss(train) 1.0160 | Acc(train) 0.5046 | Acc(val) 0.5619 |*
Epoch 00026 | Loss(train) 1.0176 | Acc(train) 0.5120 | Acc(val) 0.5862 |*
Epoch 00027 | Loss(train) 1.0122 | Acc(train) 0.5276 | Acc(val) 0.6004 |*
Epoch 00028 | Loss(train) 1.0075 | Acc(train) 0.5198 | Acc(val) 0.5953 |
Epoch 00029 | Loss(train) 1.0060 | Acc(train) 0.5218 | Acc(val) 0.5822 |
Epoch 00030 | Loss(train) 1.0036 | Acc(train) 0.5123 | Acc(val) 0.5680 |
Epoch 00031 | Loss(train) 0.9937 | Acc(train) 0.5367 | Acc(val) 0.5771 |
Epoch 00032 | Loss(train) 0.9927 | Acc(train) 0.5299 | Acc(val) 0.5903 |
Epoch 00033 | Loss(train) 0.9895 | Acc(train) 0.5350 | Acc(val) 0.6207 |*
Epoch 00034 | Loss(train) 0.9806 | Acc(train) 0.5391 | Acc(val) 0.6450 |*
Epoch 00035 | Loss(train) 0.9770 | Acc(train) 0.5347 | Acc(val) 0.6521 |*
Epoch 00036 | Loss(train) 0.9746 | Acc(train) 0.5404 | Acc(val) 0.6531 |*
Epoch 00037 | Loss(train) 0.9666 | Acc(train) 0.5577 | Acc(val) 0.6531 |
Epoch 00038 | Loss(train) 0.9691 | Acc(train) 0.5326 | Acc(val) 0.6572 |*
Epoch 00039 | Loss(train) 0.9552 | Acc(train) 0.5614 | Acc(val) 0.6552 |
Epoch 00040 | Loss(train) 0.9453 | Acc(train) 0.5749 | Acc(val) 0.6552 |
Epoch 00041 | Loss(train) 0.9426 | Acc(train) 0.5678 | Acc(val) 0.6592 |*
Epoch 00042 | Loss(train) 0.9317 | Acc(train) 0.5834 | Acc(val) 0.6643 |*
Epoch 00043 | Loss(train) 0.9234 | Acc(train) 0.5854 | Acc(val) 0.6684 |*
Epoch 00044 | Loss(train) 0.9189 | Acc(train) 0.5823 | Acc(val) 0.6755 |*
Epoch 00045 | Loss(train) 0.9125 | Acc(train) 0.5820 | Acc(val) 0.6795 |*
Epoch 00046 | Loss(train) 0.9009 | Acc(train) 0.5962 | Acc(val) 0.6785 |
Epoch 00047 | Loss(train) 0.8959 | Acc(train) 0.5989 | Acc(val) 0.6795 |
Epoch 00048 | Loss(train) 0.8861 | Acc(train) 0.5935 | Acc(val) 0.6805 |*
Epoch 00049 | Loss(train) 0.8960 | Acc(train) 0.5874 | Acc(val) 0.6785 |
Epoch 00050 | Loss(train) 0.8721 | Acc(train) 0.6006 | Acc(val) 0.6815 |*
Epoch 00051 | Loss(train) 0.8645 | Acc(train) 0.6233 | Acc(val) 0.6795 |
Epoch 00052 | Loss(train) 0.8690 | Acc(train) 0.6118 | Acc(val) 0.6846 |*
Epoch 00053 | Loss(train) 0.8656 | Acc(train) 0.6189 | Acc(val) 0.6633 |
Epoch 00054 | Loss(train) 0.8622 | Acc(train) 0.6121 | Acc(val) 0.6836 |
Epoch 00055 | Loss(train) 0.8480 | Acc(train) 0.6199 | Acc(val) 0.6795 |
Epoch 00056 | Loss(train) 0.8434 | Acc(train) 0.6260 | Acc(val) 0.6815 |
Epoch 00057 | Loss(train) 0.8397 | Acc(train) 0.6405 | Acc(val) 0.6897 |*
Epoch 00058 | Loss(train) 0.8203 | Acc(train) 0.6449 | Acc(val) 0.6856 |
Epoch 00059 | Loss(train) 0.8321 | Acc(train) 0.6314 | Acc(val) 0.6876 |
Epoch 00060 | Loss(train) 0.8238 | Acc(train) 0.6409 | Acc(val) 0.6907 |*
Epoch 00061 | Loss(train) 0.8240 | Acc(train) 0.6412 | Acc(val) 0.6876 |
Epoch 00062 | Loss(train) 0.8220 | Acc(train) 0.6608 | Acc(val) 0.6907 |
Epoch 00063 | Loss(train) 0.8198 | Acc(train) 0.6341 | Acc(val) 0.6886 |
