  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: citeseer | #Nodes: 3327 | #Edges: 12431 | #Classes: 6 |#Features: 3703
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00103 | Loss(train) 1.3397 | Acc(train) 0.5531 | Acc(val) 0.5783 |
Epoch 00104 | Loss(train) 1.3451 | Acc(train) 0.5130 | Acc(val) 0.6024 |
Epoch 00105 | Loss(train) 1.3304 | Acc(train) 0.5591 | Acc(val) 0.6024 |
Epoch 00106 | Loss(train) 1.3310 | Acc(train) 0.5130 | Acc(val) 0.6145 |
Epoch 00107 | Loss(train) 1.2993 | Acc(train) 0.5431 | Acc(val) 0.6506 |*
Epoch 00108 | Loss(train) 1.3409 | Acc(train) 0.4790 | Acc(val) 0.6566 |*
Epoch 00109 | Loss(train) 1.3558 | Acc(train) 0.5251 | Acc(val) 0.6687 |*
Epoch 00110 | Loss(train) 1.3368 | Acc(train) 0.5190 | Acc(val) 0.6807 |*
Epoch 00111 | Loss(train) 1.3212 | Acc(train) 0.5611 | Acc(val) 0.6687 |
Epoch 00112 | Loss(train) 1.3156 | Acc(train) 0.5391 | Acc(val) 0.6506 |
Epoch 00113 | Loss(train) 1.3374 | Acc(train) 0.5311 | Acc(val) 0.6386 |
Epoch 00114 | Loss(train) 1.2919 | Acc(train) 0.5311 | Acc(val) 0.5964 |
Epoch 00115 | Loss(train) 1.3400 | Acc(train) 0.5070 | Acc(val) 0.6024 |
Epoch 00116 | Loss(train) 1.2872 | Acc(train) 0.5491 | Acc(val) 0.6084 |
Epoch 00117 | Loss(train) 1.3223 | Acc(train) 0.5411 | Acc(val) 0.6024 |
Epoch 00118 | Loss(train) 1.2902 | Acc(train) 0.5210 | Acc(val) 0.6024 |
Epoch 00119 | Loss(train) 1.2770 | Acc(train) 0.5371 | Acc(val) 0.6084 |
Epoch 00120 | Loss(train) 1.3018 | Acc(train) 0.5110 | Acc(val) 0.5964 |
Epoch 00121 | Loss(train) 1.3343 | Acc(train) 0.5230 | Acc(val) 0.6084 |
Epoch 00122 | Loss(train) 1.2872 | Acc(train) 0.5671 | Acc(val) 0.6386 |
Epoch 00123 | Loss(train) 1.2900 | Acc(train) 0.5531 | Acc(val) 0.6506 |
Epoch 00124 | Loss(train) 1.2970 | Acc(train) 0.5491 | Acc(val) 0.6566 |
Epoch 00125 | Loss(train) 1.3058 | Acc(train) 0.5772 | Acc(val) 0.6627 |
Epoch 00126 | Loss(train) 1.3104 | Acc(train) 0.5691 | Acc(val) 0.6687 |
Epoch 00127 | Loss(train) 1.2720 | Acc(train) 0.5531 | Acc(val) 0.6687 |
Epoch 00128 | Loss(train) 1.2754 | Acc(train) 0.6172 | Acc(val) 0.6627 |
Epoch 00129 | Loss(train) 1.2635 | Acc(train) 0.5972 | Acc(val) 0.6446 |
Epoch 00130 | Loss(train) 1.2976 | Acc(train) 0.5471 | Acc(val) 0.6446 |
Epoch 00131 | Loss(train) 1.2534 | Acc(train) 0.5691 | Acc(val) 0.6506 |
Epoch 00132 | Loss(train) 1.2354 | Acc(train) 0.5872 | Acc(val) 0.6627 |
Epoch 00133 | Loss(train) 1.2724 | Acc(train) 0.5832 | Acc(val) 0.6807 |
Epoch 00134 | Loss(train) 1.2352 | Acc(train) 0.5852 | Acc(val) 0.6747 |
Epoch 00135 | Loss(train) 1.2843 | Acc(train) 0.5852 | Acc(val) 0.6687 |
Epoch 00136 | Loss(train) 1.2454 | Acc(train) 0.5792 | Acc(val) 0.6687 |
Epoch 00137 | Loss(train) 1.2280 | Acc(train) 0.5852 | Acc(val) 0.6265 |
Epoch 00138 | Loss(train) 1.2458 | Acc(train) 0.5772 | Acc(val) 0.6265 |
Epoch 00139 | Loss(train) 1.2398 | Acc(train) 0.5912 | Acc(val) 0.6566 |
