  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Dataset: cora | #Nodes: 2708 | #Edges: 13264 | #Classes: 7 |#Features: 1433
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00016 | Loss(train) 1.8604 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00017 | Loss(train) 1.8497 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00018 | Loss(train) 1.8490 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00019 | Loss(train) 1.8359 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00020 | Loss(train) 1.8524 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00021 | Loss(train) 1.8357 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00022 | Loss(train) 1.8442 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00023 | Loss(train) 1.8342 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00024 | Loss(train) 1.8346 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00025 | Loss(train) 1.8345 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00026 | Loss(train) 1.8084 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00027 | Loss(train) 1.8336 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00028 | Loss(train) 1.8139 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00029 | Loss(train) 1.8222 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00030 | Loss(train) 1.8045 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00031 | Loss(train) 1.8167 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00032 | Loss(train) 1.8188 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00033 | Loss(train) 1.8199 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00034 | Loss(train) 1.8023 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00035 | Loss(train) 1.7987 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00036 | Loss(train) 1.7982 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00037 | Loss(train) 1.7921 | Acc(train) 0.2833 | Acc(val) 0.2889 |
Epoch 00038 | Loss(train) 1.7926 | Acc(train) 0.2759 | Acc(val) 0.2889 |
Epoch 00039 | Loss(train) 1.7688 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00040 | Loss(train) 1.7749 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00041 | Loss(train) 1.7648 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00042 | Loss(train) 1.7748 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00043 | Loss(train) 1.7656 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00044 | Loss(train) 1.7562 | Acc(train) 0.2808 | Acc(val) 0.2889 |
Epoch 00045 | Loss(train) 1.7591 | Acc(train) 0.2833 | Acc(val) 0.2889 |
Epoch 00046 | Loss(train) 1.7549 | Acc(train) 0.2783 | Acc(val) 0.2889 |
Epoch 00047 | Loss(train) 1.7408 | Acc(train) 0.2833 | Acc(val) 0.2889 |
Epoch 00048 | Loss(train) 1.7279 | Acc(train) 0.2833 | Acc(val) 0.2889 |
Epoch 00049 | Loss(train) 1.7276 | Acc(train) 0.2906 | Acc(val) 0.2889 |
Epoch 00050 | Loss(train) 1.7652 | Acc(train) 0.2980 | Acc(val) 0.2889 |
Epoch 00051 | Loss(train) 1.7246 | Acc(train) 0.2906 | Acc(val) 0.2889 |
Epoch 00052 | Loss(train) 1.7249 | Acc(train) 0.2857 | Acc(val) 0.2889 |
Epoch 00053 | Loss(train) 1.6864 | Acc(train) 0.2906 | Acc(val) 0.2889 |
